date,state,positive
3/8/20,FL,12
3/7/20,FL,8
3/6/20,FL,8
3/5/20,FL,7
3/4/20,FL,3
3/3/20,FL,2
3/2/20,FL,0
3/1/20,FL,0
2/29/20,FL,0
2/28/20,FL,0
2/27/20,FL,0
2/26/20,FL,0
2/25/20,FL,0
2/24/20,FL,0
2/23/20,FL,0
2/22/20,FL,0
2/21/20,FL,0
2/20/20,FL,0
2/19/20,FL,0
2/18/20,FL,0
2/17/20,FL,0
2/16/20,FL,0
2/15/20,FL,0
2/14/20,FL,0
2/13/20,FL,0
2/12/20,FL,0
2/11/20,FL,0
2/10/20,FL,0
2/9/20,FL,0
2/8/20,FL,0
2/7/20,FL,0
2/6/20,FL,0
2/5/20,FL,0
2/4/20,FL,0
2/3/20,FL,0
2/2/20,FL,0
2/1/20,FL,0
1/31/20,FL,0
1/30/20,FL,0
1/29/20,FL,0
3/7/21,NY,1681169
3/6/21,NY,1674380
3/5/21,NY,1666733
3/4/21,NY,1657777
3/3/21,NY,1650184
3/2/21,NY,1642480
3/1/21,NY,1636680
2/28/21,NY,1630445
2/27/21,NY,1622865
2/26/21,NY,1614724
2/25/21,NY,1606520
2/24/21,NY,1597774
2/23/21,NY,1591585
2/22/21,NY,1584931
2/21/21,NY,1578785
2/20/21,NY,1572175
2/19/21,NY,1564483
2/18/21,NY,1555773
2/17/21,NY,1548979
2/16/21,NY,1542887
2/15/21,NY,1536134
2/14/21,NY,1529769
2/13/21,NY,1521453
2/12/21,NY,1512690
2/11/21,NY,1504286
2/10/21,NY,1494187
2/9/21,NY,1487086
2/8/21,NY,1479220
2/7/21,NY,1470772
2/6/21,NY,1460747
2/5/21,NY,1449495
2/4/21,NY,1440718
2/3/21,NY,1433304
2/2/21,NY,1427379
2/1/21,NY,1419164
1/31/21,NY,1410656
1/30/21,NY,1399863
1/29/21,NY,1387059
1/28/21,NY,1374480
1/27/21,NY,1361082
1/26/21,NY,1350054
1/25/21,NY,1338990
1/24/21,NY,1326987
1/23/21,NY,1314267
1/22/21,NY,1300481
1/21/21,NY,1285337
1/20/21,NY,1271451
1/19/21,NY,1258087
1/18/21,NY,1245575
1/17/21,NY,1233390
1/16/21,NY,1219548
1/15/21,NY,1203550
1/14/21,NY,1183608
1/13/21,NY,1169947
1/12/21,NY,1155370
1/11/21,NY,1140156
1/10/21,NY,1126442
1/9/21,NY,1111087
1/8/21,NY,1094144
1/7/21,NY,1075312
1/6/21,NY,1057676
1/5/21,NY,1041028
1/4/21,NY,1028362
1/3/21,NY,1017153
1/2/21,NY,1005785
1/1/21,NY,990711
12/31/20,NY,974214
12/30/20,NY,957412
12/29/20,NY,943990
12/28/20,NY,932552
12/27/20,NY,922145
12/26/20,NY,914522
12/25/20,NY,903716
12/24/20,NY,891270
12/23/20,NY,878702
12/22/20,NY,866765
12/21/20,NY,857049
12/20/20,NY,848042
12/19/20,NY,838085
12/18/20,NY,828166
12/17/20,NY,815469
12/16/20,NY,804555
12/15/20,NY,794557
12/14/20,NY,784204
12/13/20,NY,775160
12/12/20,NY,764966
12/11/20,NY,753837
12/10/20,NY,743242
12/9/20,NY,733064
12/8/20,NY,722464
12/7/20,NY,713129
12/6/20,NY,705827
12/5/20,NY,696125
12/4/20,NY,685364
12/3/20,NY,674093
12/2/20,NY,664238
12/1/20,NY,655265
11/30/20,NY,647980
11/29/20,NY,641161
11/28/20,NY,634438
11/27/20,NY,628375
11/26/20,NY,620199
11/25/20,NY,613266
11/24/20,NY,607001
11/23/20,NY,602120
11/22/20,NY,596214
11/21/20,NY,590822
11/20/20,NY,584850
11/19/20,NY,579382
11/18/20,NY,574072
11/17/20,NY,568778
11/16/20,NY,563690
11/15/20,NY,560200
11/14/20,NY,556551
11/13/20,NY,551163
11/12/20,NY,545762
11/11/20,NY,540965
11/10/20,NY,536145
11/9/20,NY,532180
11/8/20,NY,529036
11/7/20,NY,525608
11/6/20,NY,522021
11/5/20,NY,518812
11/4/20,NY,515815
11/3/20,NY,513689
11/2/20,NY,511368
11/1/20,NY,509735
10/31/20,NY,507480
10/30/20,NY,505431
10/29/20,NY,503176
10/28/20,NY,500677
10/27/20,NY,498646
10/26/20,NY,496655
10/25/20,NY,495464
10/24/20,NY,493832
10/23/20,NY,491771
10/22/20,NY,490134
10/21/20,NY,488506
10/20/20,NY,486480
10/19/20,NY,485279
10/18/20,NY,484281
10/17/20,NY,482891
10/16/20,NY,481107
10/15/20,NY,479400
10/14/20,NY,477940
10/13/20,NY,476708
10/12/20,NY,475315
10/11/20,NY,474286
10/10/20,NY,473143
10/9/20,NY,471696
10/8/20,NY,470104
10/7/20,NY,468268
10/6/20,NY,466908
10/5/20,NY,465515
10/4/20,NY,464582
10/3/20,NY,463360
10/2/20,NY,461629
10/1/20,NY,460031
9/30/20,NY,458649
9/29/20,NY,457649
9/28/20,NY,456460
9/27/20,NY,455626
9/26/20,NY,454760
9/25/20,NY,453755
9/24/20,NY,452847
9/23/20,NY,451892
9/22/20,NY,451227
9/21/20,NY,450473
9/20/20,NY,449900
9/19/20,NY,449038
9/18/20,NY,448052
9/17/20,NY,447262
9/16/20,NY,446366
9/15/20,NY,445714
9/14/20,NY,444948
9/13/20,NY,444365
9/12/20,NY,443640
9/11/20,NY,442791
9/10/20,NY,441911
9/9/20,NY,441154
9/8/20,NY,440578
9/7/20,NY,440021
9/6/20,NY,439501
9/5/20,NY,438772
9/4/20,NY,437971
9/3/20,NY,437107
9/2/20,NY,436218
9/1/20,NY,435510
8/31/20,NY,434756
8/30/20,NY,434100
8/29/20,NY,433402
8/28/20,NY,432767
8/27/20,NY,432131
8/26/20,NY,431340
8/25/20,NY,430774
8/24/20,NY,430145
8/23/20,NY,429737
8/22/20,NY,429165
8/21/20,NY,428512
8/20/20,NY,427803
8/19/20,NY,427202
8/18/20,NY,426571
8/17/20,NY,425916
8/16/20,NY,425508
8/15/20,NY,424901
8/14/20,NY,424167
8/13/20,NY,423440
8/12/20,NY,422703
8/11/20,NY,422003
8/10/20,NY,421336
8/9/20,NY,420860
8/8/20,NY,420345
8/7/20,NY,419642
8/6/20,NY,418928
8/5/20,NY,418225
8/4/20,NY,417589
8/3/20,NY,416843
8/2/20,NY,416298
8/1/20,NY,415767
7/31/20,NY,415014
7/30/20,NY,414370
7/29/20,NY,413593
7/28/20,NY,412878
7/27/20,NY,412344
